index,old,new
1_1001,crystal,challenging-crystal
1_1002,crystal,challenging-crystal
1_1038,crystal,non-crystal
1_1048,crystal,crystal
1_1086,crystal,non-crystal
1_109,crystal,challenging-crystal
1_1111,crystal,challenging-crystal
1_1128,crystal,noncrystal
1_1141,crystal,challenging-crystal
1_1153,crystal,challenging-crystal
1_1159,crystal,challenging-crystal
1_1168,crystal,challenging-crystal
1_116,crystal,challenging-crystal
1_1183,crystal,non-crystal
1_1201,crystal,crystal
1_1205,crystal,non-crystal
1_1224,crystal,challenging-crystal
1_122,crystal,challenging-crystal
1_1237,crystal,challenging-crystal
1_1260,crystal,challenging-crystal
1_1261,crystal,challenging-crystal
1_1307,crystal,crystal
1_131,crystal,non-crystal
1_1321,crystal,non-crystal
1_1324,crystal,challenging-crystal
1_1362,crystal,crystal
1_1368,crystal,non-crystal
1_13,crystal,crystal
1_1407,crystal,crystal
1_1410,crystal,non-crystal
1_1413,crystal,challenging-crystal
1_1416,crystal,challenging-crystal
1_1427,crystal,challenging-crystal
1_1433,crystal,non-crystal
1_1489,crystal,challenging-crystal
1_14,crystal,challenging-crystal
1_1587,crystal,challenging-crystal
1_1602,crystal,challenging-crystal
1_1603,crystal,challenging-crystal
1_1643,crystal,challenging-crystal
1_1645,crystal,challenging-crystal
1_1646,crystal,crystal
1_1666,crystal,challenging-crystal
1_1676,crystal,crystal
1_1683,crystal,challenging-crystal
1_1684,crystal,challenging-crystal
1_172,crystal,non-crystal
1_175,crystal,crystal
1_1764,crystal,non-crystal
1_1802,crystal,challenging-crystal
1_1816,crystal,challenging-crystal
1_186,crystal,non-crystal
1_192,crystal,non-crystal
1_1931,crystal,challenging-crystal
1_1949,crystal,challenging-crystal
1_1957,crystal,challenging-crystal
1_1975,crystal,non-crystal
1_2023,crystal,crystal
1_2031,crystal,crystal
1_2035,crystal,crystal
1_2053,crystal,challenging-crystal
1_2064,crystal,challenging-crystal
1_2075,crystal,challenging-crystal
1_2076,crystal,challenging-crystal
1_2081,crystal,challenging-crystal
1_2091,crystal,challenging-crystal
1_2097,crystal,non-crystal
1_2133,crystal,challenging-crystal
1_2175,crystal,challenging-crystal
1_2183,crystal,challenging-crystal
1_2186,crystal,non-crystal
1_2198,crystal,challenging-crystal
1_2201,crystal,non-crystal
1_2270,crystal,challenging-crystal
1_2277,crystal,challenging-crystal
1_2286,crystal,challenging-crystal
1_2291,crystal,challenging-crystal
1_2292,crystal,non-crystal
1_2316,crystal,crystal
1_2327,crystal,challenging-crystal
1_2329,crystal,challenging-crystal
1_2339,crystal,challenging-crystal
1_2340,crystal,challenging-crystal
1_2398,crystal,challenging-crystal
1_2416,crystal,non-crystal
1_2417,crystal,challenging-crystal
1_2421,crystal,challenging-crystal
1_2433,crystal,challenging-crystal
1_2446,crystal,challenging-crystal
1_2464,crystal,challenging-crystal
1_2558,crystal,challenging-crystal
1_2591,crystal,challenging-crystal
1_2604,crystal,crystal
1_262,crystal,challenging-crystal
1_2647,crystal,challenging-crystal
1_2651,crystal,challenging-crystal
1_2670,crystal,challenging-crystal
1_2706,crystal,challenging-crystal
1_2708,crystal,challenging-crystal
1_2745,crystal,non-crystal
1_274,crystal,crystal
1_2762,crystal,crystal
1_2765,crystal,crystal
1_2776,crystal,crystal
1_2781,crystal,challenging-crystal
1_2794,crystal,challenging-crystal
1_2797,crystal,challenging-crystal
1_2805,crystal,crystal
1_280,crystal,challenging-crystal
1_2815,crystal,non-crystal
1_2824,crystal,non-crystal
1_2857,crystal,challenging-crystal
1_285,crystal,non-crystal
1_2882,crystal,challenging-crystal
1_2890,crystal,challenging-crystal
1_2898,crystal,challenging-crystal
1_2959,crystal,challenging-crystal
1_2971,crystal,non-crystal
1_2977,crystal,non-crystal
1_3012,crystal,crystal
1_3025,crystal,challenging-crystal
1_3031,crystal,challenging-crystal
1_3062,crystal,crystal
1_3066,crystal,crystal
1_3068,crystal,challenging-crystal
1_3075,crystal,crystal
1_3084,crystal,challenging-crystal
1_3091,crystal,crystal
1_3095,crystal,crystal
1_3150,crystal,challenging-crystal
1_3180,crystal,challenging-crystal
1_3182,crystal,challenging-crystal
1_3204,crystal,challenging-crystal
1_3214,crystal,crystal
1_3240,crystal,challenging-crystal
1_3274,crystal,challenging-crystal
1_3301,crystal,crystal
1_3303,crystal,challenging-crystal
1_3312,crystal,challenging-crystal
1_3323,crystal,challenging-crystal
1_3331,crystal,crystal
1_3338,crystal,challenging-crystal
1_3345,crystal,challenging-crystal
1_3373,crystal,challenging-crystal
1_3383,crystal,crystal
1_3385,crystal,challenging-crystal
1_3396,crystal,challenging-crystal
1_3408,crystal,challenging-crystal
1_3429,crystal,challenging-crystal
1_3458,crystal,challenging-crystal
1_3467,crystal,challenging-crystal
